product_id,date,store_id,current_stock,daily_demand,lead_time_days,supplier_reliability_score,promotion_active,weather_impact,stockout_risk
P1048,18-02-2024,S4,309,71,1,87,Yes,Low,No
P1049,19-02-2024,S18,381,62,4,67,Yes,Medium,No
P1050,20-02-2024,S8,232,31,10,90,No,High,Yes
P1051,21-02-2024,S4,264,84,12,62,Yes,Medium,Yes
P1052,22-02-2024,S2,343,117,10,62,No,Low,No
P1053,23-02-2024,S6,36,19,6,81,No,Medium,No
P1054,24-02-2024,S10,304,39,9,76,No,Low,No
P1055,25-02-2024,S4,40,80,1,95,No,High,No
P1056,26-02-2024,S18,16,109,7,76,No,Medium,No
P1057,27-02-2024,S12,343,57,10,73,No,High,Yes
P1058,28-02-2024,S2,276,48,11,68,Yes,Low,Yes
P1059,29-02-2024,S10,306,30,5,89,Yes,Low,No
P1060,01-03-2024,S4,58,51,12,80,Yes,High,Yes
P1061,02-03-2024,S14,422,38,8,71,Yes,High,Yes
P1062,03-03-2024,S16,182,91,14,96,Yes,Low,No
P1063,04-03-2024,S15,40,99,7,91,No,High,Yes
P1064,05-03-2024,S8,38,54,4,70,No,Low,No
P1065,06-03-2024,S14,396,88,4,79,No,High,No
P1066,07-03-2024,S8,191,16,6,94,Yes,Low,No
P1067,08-03-2024,S16,266,91,6,70,Yes,Low,No
P1068,09-03-2024,S13,493,8,9,67,No,Medium,No
P1069,10-03-2024,S18,146,91,12,63,No,Low,Yes
P1070,11-03-2024,S15,394,52,5,86,No,Low,Yes
P1071,12-03-2024,S13,332,59,8,99,No,Medium,No
P1072,13-03-2024,S9,126,116,5,97,No,Medium,Yes
P1073,14-03-2024,S15,45,5,2,89,No,High,Yes
P1074,15-03-2024,S13,44,93,6,86,Yes,High,No
P1075,16-03-2024,S1,0,70,9,80,No,Low,No
P1076,17-03-2024,S7,167,34,13,79,No,High,No
P1077,18-03-2024,S9,107,7,3,63,Yes,High,Yes
P1078,19-03-2024,S1,18,25,1,70,No,Low,No
P1079,20-03-2024,S12,331,93,1,72,No,Medium,No
P1080,21-03-2024,S8,71,88,13,68,No,Medium,Yes
P1081,22-03-2024,S11,455,53,3,63,Yes,Low,Yes
P1082,23-03-2024,S19,444,90,10,71,No,Low,No
P1083,24-03-2024,S17,108,89,5,68,No,Low,No
P1084,25-03-2024,S8,267,66,3,72,No,Low,No
P1085,26-03-2024,S3,444,101,9,85,Yes,Low,Yes
P1086,27-03-2024,S3,239,42,8,97,No,Low,No
P1087,28-03-2024,S1,416,19,3,72,No,High,No
P1088,29-03-2024,S5,300,114,9,98,No,High,Yes
P1089,30-03-2024,S10,89,56,13,87,Yes,High,Yes
P1090,31-03-2024,S7,102,83,6,78,No,Medium,No
P1091,01-04-2024,S9,475,50,13,83,No,Low,No
P1092,02-04-2024,S7,249,29,7,78,Yes,Low,No
P1093,03-04-2024,S9,452,25,4,72,No,High,No
P1094,04-04-2024,S8,7,92,4,72,No,Medium,No
P1095,05-04-2024,S12,152,9,12,87,Yes,High,No
P1096,06-04-2024,S2,346,74,13,61,No,Low,No
P1097,07-04-2024,S1,173,117,2,69,Yes,Low,No
P1098,08-04-2024,S16,342,111,5,81,No,High,No
P1099,09-04-2024,S5,157,116,8,72,No,High,No
P1100,10-04-2024,S3,492,112,7,68,No,Low,Yes
P1101,11-04-2024,S12,430,51,7,92,No,High,No
P1102,12-04-2024,S8,214,91,6,73,Yes,Low,Yes
P1103,13-04-2024,S3,176,72,3,79,No,High,No
P1104,14-04-2024,S1,174,95,5,74,No,Medium,No
P1105,15-04-2024,S3,339,22,13,91,No,Low,No
P1106,16-04-2024,S5,337,25,1,92,No,Medium,No
P1107,17-04-2024,S15,145,96,7,76,No,High,No
P1108,18-04-2024,S14,449,103,9,83,Yes,Medium,Yes
P1109,19-04-2024,S3,323,90,1,89,Yes,High,Yes
P1110,20-04-2024,S1,477,108,13,72,Yes,Medium,No
P1111,21-04-2024,S5,160,27,2,75,No,Medium,No
P1112,22-04-2024,S14,126,68,3,61,Yes,Medium,No
P1113,23-04-2024,S7,419,71,3,76,Yes,Low,No
P1114,24-04-2024,S9,81,44,8,91,No,Medium,Yes
P1115,25-04-2024,S15,484,118,7,67,Yes,High,No
P1116,26-04-2024,S15,146,14,6,62,No,High,No
P1117,27-04-2024,S10,238,93,10,71,Yes,Low,No
P1118,28-04-2024,S13,411,56,10,79,Yes,Low,No
P1119,29-04-2024,S19,423,117,11,75,No,High,Yes
P1120,30-04-2024,S7,83,76,4,73,Yes,Medium,No
P1121,01-05-2024,S17,112,79,9,75,No,High,Yes
P1122,02-05-2024,S20,224,65,1,92,No,Low,Yes
P1123,03-05-2024,S4,331,68,11,89,Yes,Low,No
P1124,04-05-2024,S5,377,9,2,71,Yes,High,No
P1125,05-05-2024,S7,242,113,14,74,No,Medium,No
P1126,06-05-2024,S13,142,57,4,77,Yes,Medium,No
P1127,07-05-2024,S15,40,59,3,87,Yes,Low,No
P1128,08-05-2024,S11,422,41,1,82,No,High,No
P1129,09-05-2024,S4,257,60,5,73,No,High,Yes
P1130,10-05-2024,S13,446,63,7,89,No,Low,No
P1131,11-05-2024,S7,284,113,2,92,No,High,No
P1132,12-05-2024,S19,104,106,5,74,No,Low,No
P1133,13-05-2024,S2,201,97,6,66,Yes,Medium,Yes
P1134,14-05-2024,S10,449,73,11,74,No,Medium,Yes
P1135,15-05-2024,S13,306,77,7,97,No,High,No
P1136,16-05-2024,S6,330,63,1,70,No,Medium,No
P1137,17-05-2024,S12,460,116,7,88,No,Medium,No
P1138,18-05-2024,S12,265,6,4,90,Yes,Low,No
P1139,19-05-2024,S20,397,69,8,84,Yes,Low,No
P1140,20-05-2024,S11,209,108,13,83,No,High,No
P1141,21-05-2024,S7,50,64,4,78,No,Low,No
P1142,22-05-2024,S1,117,55,6,61,Yes,High,Yes
P1143,23-05-2024,S1,200,34,9,81,Yes,High,No
P1144,24-05-2024,S20,376,15,5,79,No,Low,No
P1145,25-05-2024,S13,38,96,14,92,No,Medium,Yes
P1146,26-05-2024,S9,27,112,12,67,No,Medium,Yes
P1147,27-05-2024,S3,258,80,4,84,No,Medium,Yes
P1148,28-05-2024,S7,83,43,8,68,Yes,Medium,No
P1149,29-05-2024,S6,453,94,13,93,Yes,High,No
P1150,30-05-2024,S8,154,81,9,82,No,Medium,No
P1151,31-05-2024,S9,116,76,4,64,No,High,No
P1152,01-06-2024,S5,1,67,3,84,Yes,Low,No
P1153,02-06-2024,S1,92,68,8,67,Yes,Low,Yes
P1154,03-06-2024,S19,165,65,14,75,No,High,Yes
P1155,04-06-2024,S10,386,58,5,74,No,Medium,No
P1156,05-06-2024,S12,399,96,2,60,No,High,No
P1157,06-06-2024,S15,349,98,10,81,Yes,Medium,No
P1158,07-06-2024,S9,295,77,9,62,No,Medium,No
P1159,08-06-2024,S20,257,107,3,97,No,High,No
P1160,09-06-2024,S17,80,99,12,73,No,High,No
P1161,10-06-2024,S17,424,62,2,95,No,Medium,Yes
P1162,11-06-2024,S20,267,89,1,77,No,High,No
P1163,12-06-2024,S12,418,60,14,77,No,Medium,Yes
P1164,13-06-2024,S7,234,115,8,62,No,High,No
P1165,14-06-2024,S2,320,38,11,69,No,Low,Yes
P1166,15-06-2024,S3,310,35,3,98,No,Medium,No
P1167,16-06-2024,S17,300,56,7,60,No,Low,No
P1168,17-06-2024,S5,462,93,1,86,No,High,No
P1169,18-06-2024,S17,473,80,1,86,No,Low,No
P1170,19-06-2024,S17,356,5,12,70,No,High,No
P1171,20-06-2024,S17,212,59,9,64,No,Medium,No
P1172,21-06-2024,S2,61,26,12,66,No,High,No
P1173,22-06-2024,S2,48,44,8,78,No,High,No
P1174,23-06-2024,S5,126,105,12,88,No,Medium,Yes
P1175,24-06-2024,S1,222,115,13,74,No,High,No
P1176,25-06-2024,S1,408,5,3,94,Yes,Medium,No
P1177,26-06-2024,S19,278,69,6,96,No,High,No
P1178,27-06-2024,S2,407,67,11,71,Yes,Medium,No
P1179,28-06-2024,S12,293,110,3,89,Yes,Low,Yes
P1180,29-06-2024,S6,283,58,13,79,No,High,No
P1181,30-06-2024,S4,276,46,12,96,Yes,High,No
P1182,01-07-2024,S11,437,25,4,62,Yes,High,Yes
P1183,02-07-2024,S17,106,83,1,68,Yes,Medium,No
P1184,03-07-2024,S6,145,85,5,98,Yes,High,No
P1185,04-07-2024,S5,419,26,1,85,No,Medium,Yes
P1186,05-07-2024,S20,98,42,13,61,No,High,Yes
P1187,06-07-2024,S2,428,103,1,82,No,Low,No
P1188,07-07-2024,S6,374,113,10,82,No,High,Yes
P1189,08-07-2024,S11,72,84,11,80,Yes,Low,No
P1190,09-07-2024,S16,436,12,11,75,Yes,Medium,No
P1191,10-07-2024,S16,485,66,14,68,No,Low,No
P1192,11-07-2024,S1,121,51,7,72,No,High,No
P1193,12-07-2024,S9,29,21,12,87,No,High,No
P1194,13-07-2024,S6,187,21,6,86,No,Medium,No
P1195,14-07-2024,S16,363,94,2,76,No,High,No
P1196,15-07-2024,S3,353,17,14,97,No,High,No
P1197,16-07-2024,S20,287,21,11,95,No,Medium,No
P1198,17-07-2024,S4,450,42,12,60,No,Medium,No
P1199,18-07-2024,S19,194,85,2,77,Yes,Low,Yes
P1200,19-07-2024,S3,155,116,11,68,No,Medium,No
P1201,20-07-2024,S19,171,82,7,72,No,High,No
P1202,21-07-2024,S20,334,49,1,99,No,Medium,No
P1203,22-07-2024,S7,40,10,13,74,No,High,Yes
P1204,23-07-2024,S20,62,39,2,63,Yes,Low,No
P1205,24-07-2024,S9,22,114,12,92,No,Medium,No
P1206,25-07-2024,S1,359,18,8,83,No,High,No
P1207,26-07-2024,S8,74,115,6,95,Yes,Medium,No
P1208,27-07-2024,S7,47,76,14,69,No,Medium,No
P1209,28-07-2024,S18,159,65,2,95,Yes,Medium,No
P1210,29-07-2024,S8,312,19,7,79,No,Medium,No
P1211,30-07-2024,S1,117,58,4,70,No,Low,Yes
P1212,31-07-2024,S11,99,31,2,71,No,High,No
P1213,01-08-2024,S18,379,17,12,77,Yes,Medium,Yes
P1214,02-08-2024,S10,416,117,6,89,No,High,No
P1215,03-08-2024,S3,407,35,11,96,No,Low,Yes
P1216,04-08-2024,S7,166,39,9,79,Yes,High,No
P1217,05-08-2024,S16,289,64,11,84,No,High,No
P1218,06-08-2024,S16,439,10,9,71,No,Low,No
P1219,07-08-2024,S20,155,73,14,80,Yes,Medium,No
P1220,08-08-2024,S17,420,90,8,84,No,High,No
P1221,09-08-2024,S2,6,62,3,70,No,High,Yes
P1222,10-08-2024,S1,195,53,3,68,No,Medium,No
P1223,11-08-2024,S16,420,27,2,84,No,Medium,No
P1224,12-08-2024,S12,55,93,5,94,Yes,High,Yes
P1225,13-08-2024,S5,320,38,14,91,No,Low,Yes
P1226,14-08-2024,S5,192,30,12,73,No,Medium,No
P1227,15-08-2024,S9,46,51,14,60,Yes,Medium,Yes
P1228,16-08-2024,S9,147,9,4,76,No,Low,No
P1229,17-08-2024,S3,274,94,7,84,No,High,Yes
P1230,18-08-2024,S19,156,24,4,67,No,Medium,No
P1231,19-08-2024,S16,201,10,9,64,Yes,High,Yes
P1232,20-08-2024,S16,443,74,12,64,No,High,No
P1233,21-08-2024,S3,401,63,12,94,Yes,High,No
P1234,22-08-2024,S20,475,68,2,78,No,Low,No
P1235,23-08-2024,S1,418,118,11,82,No,High,No
P1236,24-08-2024,S20,426,22,14,68,No,High,No
P1237,25-08-2024,S11,494,8,6,89,Yes,Medium,Yes
P1238,26-08-2024,S17,478,21,7,75,No,Medium,Yes
P1239,27-08-2024,S8,474,18,4,92,Yes,Low,Yes
P1240,28-08-2024,S4,125,82,13,61,Yes,Low,No
P1241,29-08-2024,S6,394,17,6,73,No,Medium,No
P1242,30-08-2024,S8,304,11,7,60,No,Medium,No
P1243,31-08-2024,S20,368,48,4,85,Yes,Low,No
P1244,01-09-2024,S3,293,19,8,84,Yes,High,No
P1245,02-09-2024,S16,63,23,9,75,No,Low,No
P1246,03-09-2024,S3,324,67,1,74,No,High,No
P1247,04-09-2024,S18,391,111,7,85,Yes,Medium,No
P1248,05-09-2024,S14,417,115,9,75,No,Medium,Yes
P1249,06-09-2024,S18,175,112,12,73,No,Medium,No
P1250,07-09-2024,S2,115,39,10,88,No,High,No
P1251,08-09-2024,S3,439,85,5,83,No,Low,No
P1252,09-09-2024,S16,203,39,12,74,Yes,High,No
P1253,10-09-2024,S9,485,23,2,78,No,Low,No
P1254,11-09-2024,S4,320,24,10,67,No,Low,No
P1255,12-09-2024,S1,30,104,6,93,No,Low,Yes
P1256,13-09-2024,S4,387,39,12,61,No,Medium,No
P1257,14-09-2024,S1,112,36,12,86,No,Low,No
P1258,15-09-2024,S14,364,52,7,69,Yes,Medium,No
P1259,16-09-2024,S16,433,48,2,94,Yes,Low,No
P1260,17-09-2024,S20,324,108,2,82,Yes,Low,Yes
P1261,18-09-2024,S8,413,28,10,67,No,Medium,No
P1262,19-09-2024,S7,375,65,14,87,No,Medium,No
P1263,20-09-2024,S3,343,21,12,82,No,High,No
P1264,21-09-2024,S17,442,75,10,63,Yes,Low,No
P1265,22-09-2024,S1,66,111,1,73,No,Medium,Yes
P1266,23-09-2024,S16,74,54,4,88,No,High,Yes
P1267,24-09-2024,S12,44,69,7,60,No,High,No
P1268,25-09-2024,S19,259,103,14,63,Yes,Medium,No
P1269,26-09-2024,S14,153,36,9,91,Yes,Low,No
P1270,27-09-2024,S6,154,40,3,92,No,High,No
P1271,28-09-2024,S6,429,17,12,85,No,Low,Yes
P1272,29-09-2024,S13,362,74,11,76,Yes,Low,Yes
P1273,30-09-2024,S19,447,62,7,98,No,High,No
P1274,01-10-2024,S8,474,18,7,82,Yes,Medium,No
P1275,02-10-2024,S2,233,41,7,91,No,Low,No
P1276,03-10-2024,S1,50,116,2,74,No,Medium,No
P1277,04-10-2024,S15,305,83,6,72,Yes,High,No
P1278,05-10-2024,S1,261,115,2,61,No,Low,Yes
P1279,06-10-2024,S5,314,72,6,78,No,Medium,No
P1280,07-10-2024,S16,124,44,13,83,Yes,Medium,Yes
P1281,08-10-2024,S19,398,63,10,83,No,Low,No
P1282,09-10-2024,S4,244,84,3,70,Yes,Medium,No
P1283,10-10-2024,S3,29,96,14,81,Yes,Medium,No
P1284,11-10-2024,S17,425,20,2,74,Yes,High,No
P1285,12-10-2024,S17,484,66,12,69,Yes,High,No
P1286,13-10-2024,S12,121,8,14,86,Yes,Medium,No
P1287,14-10-2024,S14,124,49,6,68,Yes,Medium,Yes
P1288,15-10-2024,S6,36,94,2,87,No,Low,Yes
P1289,16-10-2024,S3,169,32,5,60,Yes,High,No
P1290,17-10-2024,S9,123,100,2,76,No,Low,No
P1291,18-10-2024,S5,356,113,3,90,Yes,Medium,No
P1292,19-10-2024,S17,34,70,3,69,Yes,Low,Yes
P1293,20-10-2024,S14,86,35,6,96,Yes,Medium,No
P1294,21-10-2024,S3,133,7,6,88,No,High,Yes
P1295,22-10-2024,S1,195,12,10,77,No,High,No
P1296,23-10-2024,S20,273,28,3,97,No,Medium,No
P1297,24-10-2024,S1,200,19,3,98,Yes,High,No
P1298,25-10-2024,S3,368,47,13,65,No,Medium,No
P1299,26-10-2024,S18,284,35,12,99,Yes,Low,No
P1300,27-10-2024,S10,76,77,13,71,Yes,Medium,Yes
P1301,28-10-2024,S3,58,107,1,73,No,Low,No
P1302,29-10-2024,S8,430,49,7,69,No,Medium,Yes
P1303,30-10-2024,S14,125,70,13,79,No,High,No
P1304,31-10-2024,S18,499,12,8,74,Yes,Medium,No
P1305,01-11-2024,S15,400,75,2,90,No,Medium,No
P1306,02-11-2024,S2,108,112,4,66,No,Medium,No
P1307,03-11-2024,S10,223,119,10,69,No,High,Yes
P1308,04-11-2024,S2,495,107,7,69,Yes,Medium,No
P1309,05-11-2024,S17,277,110,8,98,Yes,High,No
P1310,06-11-2024,S8,67,61,1,87,No,Medium,No
P1311,07-11-2024,S1,68,84,4,89,No,Low,No
P1312,08-11-2024,S9,164,103,6,96,No,Medium,No
P1313,09-11-2024,S11,488,34,3,62,No,Low,No
P1314,10-11-2024,S16,304,78,5,74,Yes,High,No
P1315,11-11-2024,S7,396,106,10,80,No,High,Yes
P1316,12-11-2024,S10,161,22,9,96,No,Medium,No
P1317,13-11-2024,S3,364,118,11,71,Yes,High,No
P1318,14-11-2024,S18,341,73,13,63,Yes,Medium,No
P1319,15-11-2024,S13,308,97,3,68,No,High,No
P1320,16-11-2024,S7,378,43,5,98,No,Low,No
P1321,17-11-2024,S4,342,64,8,87,No,High,Yes
P1322,18-11-2024,S13,434,102,6,82,Yes,Low,Yes
P1323,19-11-2024,S20,386,47,4,99,No,Medium,Yes
P1324,20-11-2024,S1,41,49,8,81,Yes,Medium,No
P1325,21-11-2024,S8,353,27,11,83,No,Medium,No
P1326,22-11-2024,S14,415,73,3,85,No,Low,No
P1327,23-11-2024,S16,108,98,3,89,Yes,Medium,Yes
P1328,24-11-2024,S14,50,10,4,92,Yes,Medium,No
P1329,25-11-2024,S12,249,60,9,75,No,Low,No
P1330,26-11-2024,S19,496,114,5,81,No,High,No
P1331,27-11-2024,S15,340,112,8,77,Yes,Medium,No
P1332,28-11-2024,S2,429,8,6,66,No,High,No
P1333,29-11-2024,S2,382,97,3,85,No,High,No
P1334,30-11-2024,S19,491,27,8,67,Yes,Medium,No
P1335,01-12-2024,S17,20,10,12,65,No,Medium,No
P1336,02-12-2024,S20,299,36,9,89,No,Low,Yes
P1337,03-12-2024,S10,138,110,8,98,Yes,Low,No
P1338,04-12-2024,S6,358,22,13,82,No,Medium,No
P1339,05-12-2024,S15,323,19,4,91,Yes,High,Yes
P1340,06-12-2024,S11,498,44,14,81,No,Low,No
P1341,07-12-2024,S5,384,100,14,68,No,Low,No
P1342,08-12-2024,S1,91,77,13,90,No,Medium,Yes
P1343,09-12-2024,S8,446,105,11,66,No,Medium,No
P1344,10-12-2024,S12,279,78,6,68,Yes,Medium,No
P1345,11-12-2024,S12,124,88,1,72,No,Medium,No
P1346,12-12-2024,S5,482,10,4,62,No,Low,Yes
P1347,13-12-2024,S7,396,116,8,94,Yes,Low,No
P1348,14-12-2024,S4,110,67,1,92,No,Low,Yes
P1349,15-12-2024,S6,353,71,3,80,Yes,High,No
P1350,16-12-2024,S13,138,110,1,90,No,Low,Yes
P1351,17-12-2024,S20,483,15,9,93,Yes,Low,No
P1352,18-12-2024,S15,434,47,2,91,Yes,Medium,Yes
P1353,19-12-2024,S3,272,21,9,94,Yes,Low,Yes
P1354,20-12-2024,S8,98,100,13,74,No,Low,Yes
P1355,21-12-2024,S20,251,8,4,91,No,Low,No
P1356,22-12-2024,S16,337,67,2,65,No,Medium,No
P1357,23-12-2024,S13,103,72,4,80,Yes,Low,Yes
P1358,24-12-2024,S18,213,85,12,92,No,Low,No
P1359,25-12-2024,S10,248,45,11,91,No,High,No
P1360,26-12-2024,S19,151,87,11,78,No,High,No
P1361,27-12-2024,S17,249,9,10,92,Yes,High,Yes
P1362,28-12-2024,S19,274,36,6,87,Yes,High,No
P1363,29-12-2024,S5,164,90,11,90,No,Medium,No
P1364,30-12-2024,S9,486,74,7,80,Yes,High,No
P1365,31-12-2024,S12,340,39,3,93,Yes,Low,No
P1366,01-01-2025,S1,7,26,3,74,Yes,High,Yes
P1367,02-01-2025,S1,283,69,12,73,No,Medium,No
P1368,03-01-2025,S15,4,88,10,78,No,High,Yes
P1369,04-01-2025,S2,144,26,12,74,No,High,No
P1370,05-01-2025,S16,100,116,8,65,Yes,Medium,Yes
P1371,06-01-2025,S8,163,15,5,68,No,Medium,No
P1372,07-01-2025,S13,373,81,4,96,Yes,Medium,Yes
P1373,08-01-2025,S1,146,110,7,79,No,Medium,No
P1374,09-01-2025,S16,63,7,7,93,No,Medium,No
P1375,10-01-2025,S7,90,13,13,97,No,Medium,No
P1376,11-01-2025,S5,116,64,9,85,Yes,Low,Yes
P1377,12-01-2025,S3,353,80,9,77,Yes,High,No
P1378,13-01-2025,S12,266,91,5,87,No,High,No
P1379,14-01-2025,S16,309,18,13,68,No,Medium,No
P1380,15-01-2025,S19,172,101,12,91,Yes,Medium,Yes
P1381,16-01-2025,S5,46,22,13,65,No,Low,No
P1382,17-01-2025,S14,139,117,8,73,No,Low,No
P1383,18-01-2025,S5,245,109,10,87,No,Medium,No
P1384,19-01-2025,S15,148,77,1,83,No,Low,Yes
P1385,20-01-2025,S17,245,27,9,72,Yes,Low,Yes
P1386,21-01-2025,S14,394,78,8,71,Yes,Medium,Yes
P1387,22-01-2025,S20,486,87,6,78,Yes,Medium,No
P1388,23-01-2025,S5,475,51,13,80,No,Medium,No
P1389,24-01-2025,S12,4,73,3,86,Yes,Medium,No
P1390,25-01-2025,S16,464,51,3,78,No,High,No
P1391,26-01-2025,S16,183,91,8,83,Yes,High,No
P1392,27-01-2025,S7,19,34,5,85,Yes,Medium,No
P1393,28-01-2025,S4,424,29,10,87,No,Low,No
P1394,29-01-2025,S1,45,32,11,77,Yes,Medium,No
P1395,30-01-2025,S5,11,102,14,95,Yes,High,No
P1396,31-01-2025,S10,69,113,7,88,No,Low,No
P1397,01-02-2025,S5,16,116,5,76,Yes,High,No
P1398,02-02-2025,S4,370,115,8,63,Yes,Medium,No
P1399,03-02-2025,S2,146,29,10,88,Yes,High,No
P1400,04-02-2025,S20,153,78,10,63,No,High,Yes
P1401,05-02-2025,S10,303,82,4,69,No,High,No
P1402,06-02-2025,S19,107,110,2,84,No,Low,Yes
P1403,07-02-2025,S1,235,114,3,90,Yes,High,Yes
P1404,08-02-2025,S5,307,62,8,62,No,Low,No
P1405,09-02-2025,S13,351,98,11,61,No,Medium,No
P1406,10-02-2025,S4,69,45,13,84,No,Medium,No
P1407,11-02-2025,S16,182,29,7,65,Yes,High,No
P1408,12-02-2025,S16,249,82,13,85,No,Low,Yes
P1409,13-02-2025,S2,227,103,2,67,No,Medium,Yes
P1410,14-02-2025,S17,101,52,6,94,No,Low,No
P1411,15-02-2025,S20,74,102,9,86,Yes,Low,No
P1412,16-02-2025,S12,416,14,4,84,Yes,High,Yes
P1413,17-02-2025,S18,445,103,9,77,Yes,High,No
P1414,18-02-2025,S3,215,79,2,60,Yes,Low,No
P1415,19-02-2025,S1,406,15,2,98,No,Low,No
P1416,20-02-2025,S1,398,89,9,62,No,High,No
P1417,21-02-2025,S19,410,25,12,63,No,Low,No
P1418,22-02-2025,S11,202,90,7,96,Yes,High,No
P1419,23-02-2025,S5,191,49,7,74,Yes,Low,No
P1420,24-02-2025,S12,248,11,1,67,Yes,High,Yes
P1421,25-02-2025,S3,498,85,13,97,Yes,Low,No
P1422,26-02-2025,S1,241,68,11,78,No,High,No
P1423,27-02-2025,S1,464,68,6,85,Yes,Low,Yes
P1424,28-02-2025,S8,178,6,13,98,Yes,Medium,Yes
P1425,01-03-2025,S10,436,80,7,69,No,Medium,No
P1426,02-03-2025,S11,461,46,11,97,No,Low,No
P1427,03-03-2025,S12,218,86,14,73,No,Medium,No
P1428,04-03-2025,S13,81,58,6,78,No,Low,Yes
P1429,05-03-2025,S12,91,79,6,89,Yes,Low,No
P1430,06-03-2025,S14,434,20,2,64,No,Medium,No
P1431,07-03-2025,S2,174,117,6,90,Yes,Low,Yes
P1432,08-03-2025,S19,238,119,4,66,Yes,High,No
P1433,09-03-2025,S18,259,22,9,78,No,Low,Yes
P1434,10-03-2025,S3,390,103,12,90,Yes,Low,Yes
P1435,11-03-2025,S17,364,63,1,98,No,Medium,No
P1436,12-03-2025,S8,162,94,13,83,Yes,High,No
P1437,13-03-2025,S10,47,20,8,93,No,Low,Yes
P1438,14-03-2025,S2,328,10,5,82,No,Low,No
P1439,15-03-2025,S19,327,61,1,99,No,Low,No
P1440,16-03-2025,S9,115,112,4,65,No,Low,No
P1441,17-03-2025,S7,428,111,1,97,No,Low,No
P1442,18-03-2025,S4,336,51,6,95,Yes,Low,No
P1443,19-03-2025,S18,336,115,2,86,No,High,Yes
P1444,20-03-2025,S13,368,52,5,70,No,High,No
P1445,21-03-2025,S11,224,46,7,64,Yes,Low,Yes
P1446,22-03-2025,S4,351,80,2,76,No,Low,No
P1447,23-03-2025,S4,327,64,6,66,No,Medium,No
P1448,24-03-2025,S10,146,81,6,86,No,High,No
P1449,25-03-2025,S5,62,8,5,74,Yes,High,Yes
P1450,26-03-2025,S9,293,107,5,72,No,Low,No
P1451,27-03-2025,S3,322,6,14,70,Yes,High,No
P1452,28-03-2025,S17,442,94,3,85,Yes,High,No
P1453,29-03-2025,S3,324,63,10,81,No,Medium,No
P1454,30-03-2025,S16,12,31,10,87,No,Medium,No
P1455,31-03-2025,S4,430,31,11,83,No,High,No
P1456,01-04-2025,S18,493,83,12,88,Yes,High,No
P1457,02-04-2025,S17,188,76,2,68,Yes,High,No
